stringId_A,stringId_B,combined_score
ENSP00000220772,ENSP00000293549,0.8019000000000001
ENSP00000221930,ENSP00000326031,0.536
ENSP00000221930,ENSP00000228534,0.44020000000000004
ENSP00000221930,ENSP00000357005,0.5275000000000001
ENSP00000221930,ENSP00000360882,0.456898
ENSP00000221930,ENSP00000258341,0.54016
ENSP00000221930,ENSP00000367316,0.538
ENSP00000221930,ENSP00000452786,0.5805
ENSP00000221930,ENSP00000296181,0.556
ENSP00000221930,ENSP00000263253,0.4775068
ENSP00000221930,ENSP00000364683,0.5
ENSP00000221930,ENSP00000400175,0.6039920000000001
ENSP00000221930,ENSP00000361818,0.8
ENSP00000221930,ENSP00000264657,0.5760075
ENSP00000221930,ENSP00000379350,0.5595
ENSP00000221930,ENSP00000284981,0.6434120000000001
ENSP00000221930,ENSP00000287820,0.77625
ENSP00000221930,ENSP00000355896,0.79806
ENSP00000221930,ENSP00000373574,0.674416
ENSP00000221930,ENSP00000341551,0.566505
ENSP00000221930,ENSP00000385675,0.4636
ENSP00000221930,ENSP00000222573,0.95842
ENSP00000221930,ENSP00000260356,0.51616
ENSP00000221930,ENSP00000283249,0.95525
ENSP00000221930,ENSP00000238682,0.9042
ENSP00000221930,ENSP00000262158,0.573745
ENSP00000221930,ENSP00000332973,0.6165369999999999
ENSP00000221930,ENSP00000261023,0.981982
ENSP00000221930,ENSP00000447297,0.9979882
ENSP00000221930,ENSP00000351905,0.998747
ENSP00000221992,ENSP00000265016,0.4
ENSP00000221992,ENSP00000296350,0.4
ENSP00000221992,ENSP00000367202,0.4
ENSP00000221992,ENSP00000359085,0.4516
ENSP00000221992,ENSP00000402584,0.4756
ENSP00000221992,ENSP00000284240,0.4
ENSP00000222399,ENSP00000378856,0.461604
ENSP00000222399,ENSP00000378431,0.5611600000000001
ENSP00000222399,ENSP00000356515,0.522
ENSP00000222399,ENSP00000239462,0.54
ENSP00000222399,ENSP00000369677,0.60460516
ENSP00000222399,ENSP00000339328,0.55932
ENSP00000222399,ENSP00000359077,0.5385
ENSP00000222399,ENSP00000359085,0.6021000000000001
ENSP00000222399,ENSP00000361850,0.58508
ENSP00000222399,ENSP00000262407,0.6657500000000001
ENSP00000222399,ENSP00000267082,0.6847910500000001
ENSP00000222399,ENSP00000226218,0.5676000000000001
ENSP00000222399,ENSP00000352798,0.562
ENSP00000222399,ENSP00000341189,0.6794
ENSP00000222399,ENSP00000380227,0.6797885000000001
ENSP00000222399,ENSP00000367316,0.6807912500000001
ENSP00000222399,ENSP00000283249,0.6924144000000001
ENSP00000222399,ENSP00000264741,0.681794
ENSP00000222399,ENSP00000296585,0.6878
ENSP00000222399,ENSP00000222573,0.6847984
ENSP00000222399,ENSP00000261023,0.7128792500000001
ENSP00000222399,ENSP00000293379,0.6941612500000001
ENSP00000222399,ENSP00000315190,0.7048572500000001
ENSP00000222399,ENSP00000442600,0.721687
ENSP00000222399,ENSP00000358310,0.6647000000000001
ENSP00000222399,ENSP00000452786,0.6831338
ENSP00000222399,ENSP00000327290,0.6752
ENSP00000222399,ENSP00000282588,0.6839500000000001
ENSP00000222399,ENSP00000296181,0.7076611
ENSP00000222399,ENSP00000398632,0.9056000000000001
ENSP00000222399,ENSP00000379350,0.9374221
ENSP00000222399,ENSP00000386896,0.9686155
ENSP00000222399,ENSP00000252999,0.9941304
ENSP00000222399,ENSP00000258341,0.997448
ENSP00000222573,ENSP00000369677,0.5607
ENSP00000222573,ENSP00000262407,0.61159532
ENSP00000222573,ENSP00000346300,0.65
ENSP00000222573,ENSP00000252699,0.67485
ENSP00000222573,ENSP00000239462,0.65
ENSP00000222573,ENSP00000377941,0.67485
ENSP00000222573,ENSP00000407685,0.65
ENSP00000222573,ENSP00000300574,0.65
ENSP00000222573,ENSP00000496959,0.61159532
ENSP00000222573,ENSP00000339191,0.6647000000000001
ENSP00000222573,ENSP00000408695,0.68413375
ENSP00000222573,ENSP00000252999,0.66645
ENSP00000222573,ENSP00000369889,0.6657500000000001
ENSP00000222573,ENSP00000258341,0.6804591
ENSP00000222573,ENSP00000339730,0.67345
ENSP00000222573,ENSP00000297268,0.6657500000000001
ENSP00000222573,ENSP00000334008,0.7002915000000001
ENSP00000222573,ENSP00000386896,0.6124104400000001
ENSP00000222573,ENSP00000260356,0.6917368
