Root,Dscore,Statistic,Pvalue,AdjPvalue
30,0.9914,8.281,6.08e-17,3.46e-14
30,0.894,8.277,6.29e-17,3.58e-14
30,0.831,8.271,6.64e-17,3.78e-14
30,0.9151,8.27,6.7e-17,3.81e-14
30,0.9959,8.26,7.27e-17,4.14e-14
30,0.9663,8.253,7.7e-17,4.38e-14
30,0.9035,8.249,7.99e-17,4.55e-14
30,0.9044,8.24,8.62e-17,4.9e-14
30,0.889,8.221,1.01e-16,5.74e-14
30,0.9459,8.217,1.04e-16,5.94e-14
30,0.861,8.211,1.1e-16,6.26e-14
30,0.9035,8.211,1.1e-16,6.26e-14
30,0.8914,8.21,1.11e-16,6.3e-14
30,0.9459,8.201,1.19e-16,6.79e-14
30,0.9718,8.182,1.4e-16,7.97e-14
30,0.9718,8.177,1.45e-16,8.25e-14
30,0.894,8.175,1.48e-16,8.41e-14
30,0.9035,8.168,1.57e-16,8.94e-14
30,0.894,8.158,1.7e-16,9.7e-14
30,0.9718,8.151,1.81e-16,1.03e-13
30,0.9035,8.141,1.96e-16,1.12e-13
30,0.9278,8.127,2.21e-16,1.26e-13
30,0.9278,8.113,2.47e-16,1.4e-13
30,0.8756,8.111,2.51e-16,1.43e-13
30,0.8914,8.109,2.55e-16,1.45e-13
30,0.9265,8.095,2.86e-16,1.63e-13
30,0.894,8.093,2.92e-16,1.66e-13
30,0.894,8.081,3.22e-16,1.83e-13
30,0.899,8.007,5.86e-16,3.34e-13
30,0.8914,8.005,5.95e-16,3.39e-13
30,0.894,7.988,6.88e-16,3.91e-13
30,0.9035,7.973,7.75e-16,4.41e-13
30,0.8876,7.947,9.52e-16,5.42e-13
30,0.8584,7.933,1.07e-15,6.07e-13
30,0.894,7.932,1.08e-15,6.13e-13
30,0.9198,7.926,1.13e-15,6.46e-13
30,0.8584,7.907,1.32e-15,7.49e-13
30,0.9035,7.899,1.41e-15,8e-13
30,0.9035,7.867,1.81e-15,1.03e-12
30,0.8277,7.867,1.82e-15,1.04e-12
