stringId_A,stringId_B
ENSP00000228534,ENSP00000371067
ENSP00000228534,ENSP00000431885
ENSP00000228534,ENSP00000470788
ENSP00000228534,ENSP00000231228
ENSP00000229135,ENSP00000370698
ENSP00000229135,ENSP00000470788
ENSP00000229135,ENSP00000365380
ENSP00000229135,ENSP00000371067
ENSP00000231228,ENSP00000474412
ENSP00000231228,ENSP00000264657
ENSP00000231228,ENSP00000371067
ENSP00000231228,ENSP00000280357
ENSP00000231228,ENSP00000263341
ENSP00000231228,ENSP00000385675
ENSP00000231228,ENSP00000370698
ENSP00000231228,ENSP00000398698
ENSP00000231228,ENSP00000327801
ENSP00000231228,ENSP00000431885
ENSP00000231228,ENSP00000470788
ENSP00000231228,ENSP00000303231
ENSP00000231449,ENSP00000252999
ENSP00000231449,ENSP00000297268
ENSP00000231449,ENSP00000366109
ENSP00000231449,ENSP00000354558
ENSP00000231449,ENSP00000370698
ENSP00000231449,ENSP00000346839
ENSP00000231449,ENSP00000431885
ENSP00000231449,ENSP00000371067
ENSP00000231449,ENSP00000280357
ENSP00000231449,ENSP00000470788
ENSP00000231449,ENSP00000264657
ENSP00000231449,ENSP00000398698
ENSP00000231449,ENSP00000385675
ENSP00000231449,ENSP00000263341
ENSP00000232003,ENSP00000339328
ENSP00000232003,ENSP00000360170
ENSP00000232003,ENSP00000361850
ENSP00000232003,ENSP00000308938
ENSP00000233154,ENSP00000309591
ENSP00000233154,ENSP00000330382
ENSP00000233154,ENSP00000354566
ENSP00000233154,ENSP00000348461
ENSP00000233154,ENSP00000347427
ENSP00000233154,ENSP00000427552
ENSP00000233154,ENSP00000332118
ENSP00000233154,ENSP00000352138
ENSP00000233154,ENSP00000362680
ENSP00000233154,ENSP00000263923
ENSP00000233154,ENSP00000359552
ENSP00000233154,ENSP00000316338
ENSP00000233154,ENSP00000249071
ENSP00000233154,ENSP00000304283
ENSP00000233154,ENSP00000420321
ENSP00000233154,ENSP00000469413
ENSP00000233154,ENSP00000417335
ENSP00000233154,ENSP00000341189
ENSP00000233154,ENSP00000314067
ENSP00000233154,ENSP00000417273
ENSP00000233809,ENSP00000391826
ENSP00000233997,ENSP00000244336
ENSP00000233997,ENSP00000234347
ENSP00000234347,ENSP00000244336
ENSP00000234347,ENSP00000479536
ENSP00000235310,ENSP00000336800
ENSP00000235310,ENSP00000349436
ENSP00000235310,ENSP00000419446
ENSP00000236850,ENSP00000331746
ENSP00000236850,ENSP00000361818
ENSP00000236850,ENSP00000327801
ENSP00000236850,ENSP00000320866
ENSP00000236850,ENSP00000306099
ENSP00000236850,ENSP00000336829
ENSP00000236850,ENSP00000381448
ENSP00000236850,ENSP00000385523
ENSP00000236850,ENSP00000284981
ENSP00000236850,ENSP00000350425
ENSP00000238682,ENSP00000367316
ENSP00000238682,ENSP00000452786
ENSP00000238682,ENSP00000296181
ENSP00000238682,ENSP00000379350
ENSP00000238682,ENSP00000283249
ENSP00000238682,ENSP00000261023
ENSP00000238682,ENSP00000355896
ENSP00000238682,ENSP00000373574
ENSP00000238682,ENSP00000351905
ENSP00000239462,ENSP00000339328
ENSP00000239462,ENSP00000378431
ENSP00000239462,ENSP00000258341
ENSP00000239462,ENSP00000369677
ENSP00000239462,ENSP00000361850
ENSP00000239462,ENSP00000407685
ENSP00000239462,ENSP00000341189
ENSP00000239462,ENSP00000267082
ENSP00000239462,ENSP00000296181
ENSP00000239462,ENSP00000262407
ENSP00000239462,ENSP00000386896
ENSP00000239462,ENSP00000293379
ENSP00000239462,ENSP00000380227
ENSP00000239462,ENSP00000282588
ENSP00000239462,ENSP00000327290
ENSP00000239462,ENSP00000296585
ENSP00000239462,ENSP00000358310
ENSP00000239462,ENSP00000452786
ENSP00000239462,ENSP00000379350
ENSP00000239462,ENSP00000261023
ENSP00000239462,ENSP00000283249
ENSP00000239462,ENSP00000361818
ENSP00000239462,ENSP00000367316
ENSP00000239462,ENSP00000264741
ENSP00000242261,ENSP00000384371
ENSP00000242261,ENSP00000384273
ENSP00000242261,ENSP00000264657
